nom,prenom,date_naissance,annee,nationalite,ecole,matiere,projet,description_projet,publie,entreprise,pays_entreprise,date_embauche,stage_entreprise,stage_pays,stage_debut,stage_fin
Albert,Maryse,2004-02-17,2019,Liechtenstein,Université Lumière,Informatique,,,NULL,Colin S.A.S.,Bahrain,2001-08-31,Legendre Peron S.A.S.,Israël,2019-04-14,2019-08-16
Albert,Maryse,2004-02-17,2020,Liechtenstein,Université Lumière,Chimie,,,NULL,Colin S.A.S.,Bahrain,2001-08-31,Brunet S.A.R.L.,Maldives (Îles),2020-01-12,2020-07-05
Albert,Maryse,2004-02-17,2021,Liechtenstein,Université Lumière,Chimie; Histoire; Mathématiques; Physique; Économie,Seize ubiquitous e-business,Chaque certain claire dos.,False,Colin S.A.S.,Bahrain,2001-08-31,Aubert Blot SARL,Égypte,2021-02-11,2021-05-28
Albert,Maryse,2004-02-17,2022,Liechtenstein,Université Lumière,Biologie; Chimie; Informatique; Mathématiques; Philosophie; Économie,Cultivate dot-com technologies,Reposer bruit autrefois rôle inviter occasion angoisse.,True,Colin S.A.S.,Bahrain,2001-08-31,Jacques S.A.,Christmas (Île),2022-06-13,2022-08-11
Albert,Maryse,2004-02-17,2023,Liechtenstein,Université Lumière,Biologie; Économie,Syndicate end-to-end web services,Vendre perdu servir.,False,Colin S.A.S.,Bahrain,2001-08-31,Gautier S.A.,Colombie,2023-01-28,2023-06-14
Aubert,Augustin,1998-12-04,2019,Irak,École Polytechnique,Philosophie,,,NULL,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Lopez,Papouasie-Nouvelle-Guinée,2019-04-11,2019-10-05
Aubert,Augustin,1998-12-04,2020,Irak,École Polytechnique,Chimie; Informatique,Expedite dot-com models,Du contraire instant causer peuple réussir loi droit.,True,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Vidal Perrier S.A.R.L.,,,
Aubert,Augustin,1998-12-04,2021,Irak,École Polytechnique,Littérature; Mathématiques,Streamline revolutionary synergies,Trésor politique tout.,True,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Coulon Ledoux S.A.,Marshall (Îles),2021-05-08,2021-09-03
Aubert,Augustin,1998-12-04,2022,Irak,École Polytechnique,Biologie; Histoire,Synergize magnetic initiatives,Situation suite parler arrivée signe.,True,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Vidal Perrier S.A.R.L.,,,
Aubert,Augustin,1998-12-04,2023,Irak,École Polytechnique,Chimie; Philosophie; Économie,Redefine integrated solutions,Plutôt herbe hier science précieux.,False,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Martins Colas SA,Espagne,2023-03-04,2023-08-24
Aubert,Augustin,1998-12-04,2024,Irak,École Polytechnique,Biologie; Chimie; Histoire; Informatique; Littérature; Mathématiques; Philosophie; Physique; Économie,,,NULL,Vidal Perrier S.A.R.L.,Svalbard et Jan Mayen (Îles),2008-01-17,Chrétien S.A.S.,République tchèque,2024-04-08,2024-10-03
Barbier,Hélène,2001-06-20,2015,Venezuela,Institut Supérieur,Philosophie,,,NULL,,,,Pereira,Laos,2015-03-23,2015-05-20
